question,context
is calcium carbonate a component or component of marble?,"the maincomponent of marble is calcite, or calcium carbonate, joinedwith other constituents such as dolomite, or magnesium calcium carbonate, and argonite"
where can marble be found?,marble can be found in wideveins stretching through the mountain ranges of almost everycontinent. we are concerned mainly with the marble sourcesnear the mediterranean
is calcium sulphate the same as marble?,"alabaster, which is actually calcium sulphate, is often confused with marble"
is marble and alabaster the same thing?,alabaster is more susceptible than marbleto damage from water
"for all intents and purposes, marble isinsoluble in what?","for all intents and purposes, marble isinsoluble in pure water; however, the smallest trace of carbondioxide in the water will cause rapid degeneration of the surface"
How are chlorides carried from the ground to the surface of thestone?,"chlorides, either carriedby the air or wicked from the ground by capillary action, alsointeract with the calcite and are carried to the surface of thestone, appearing as an efflorescence of crystals"
Is marble strong or weak?,"thus, while itappears to be an exceptionally strong material, marble is notimpervious to damage by burial, atmospheric attack, and incompetent restoration"
why do most people not realize that marble is chemically reactive?,"surface cleaning of marblemost people do not realize that marble is chemically reactiveand fairly porous, conditions that allow alteration of itscharacter by surface contaminants"
how are marble stains transported to the surface?,often the stains become mixedwith other materials which are transported to the surface byfluids traveling through the marble by capillarity andeffloresced by evaporation
How do you remove the glue from a stone?,"removing all remnants of this adhesive is a timeconsumingordeal: although the glue is soluble in boiling alcohol, largeamounts remain deeply buried in the stone and necessitate theuse of a microscope"
Why are grouts and grouts harder than marble?,"cements and grouts of various kinds canleave a grey cast on or in the stone because they can chemically interact with the material and penetrate its structure; inmost cases, they are also harder than the marble"
How to clean a marble statue?,"3 because marble is a porous substance, cleaning can proceed more easily if the statue is prepared by gently heating its surface with warm, then progressively hotter, water"
what should be done evenly on a stone?,"any wetting of the stone should of course be done evenly.4 the order of application of solvents, soaps, and reagentsshould always proceed from the weakest to the strongest"
what is the cleansequence of marble?,"5 chipping, flaking, or sugary marble can alter the cleaningsequence; often these areas must be protected, infused, orcan only be treated with organic solvents"
how many poltices are needed to clean a stone?,7 poltices can be an especially good way to ensure thatstains are carried above the surface of the stone and arenot washed into its surface
How many mechanical devices should be in a marble countertop?,10 mechanical devices should be nonabrasive to the surfaceof the marble and should be small enough to get into tinycrevices and between design elements
the vermont marble company produces several excellentcleaning products and what else?,"the vermont marble company produces several excellentcleaning products, organic solvent systems, and rust removers, but these should only be used after experimentation andshould always be carefully watched because harsh chemicalsmay etch a marble surface"
what is a goodconservation of marble?,cleaning can be one of the most important aspects of goodconservation of marble
why do you add stains to a stone?,"often,the reason for adding stains is to make the stone appear olderthan it is"
How many stains are on the stonemost marble statuary?,"accretions on stonemost marble statuary that has been buried has on its surface acollection of sand, dirt, and various stains, all adhered by calcarious cementum"
