question,context
Should we consolidate if corrosion has took place?,It is reccomended that the surface that has undergone intergranular corrosion or intense weathering should be consolidated to slow the phenomenon.
Are older mortars removed by mechanical means?,"Older mortars that have failed or have caused cracks and other side effects are removed by mechanical means but the plaster is not removed in parts of the surface, where they can cause further damage to marble."
Does the plaster needs always to be replaced?,"The plaster is not removed in parts of the surface, where they can cause further damage to marble.nail removal the corroded iron or bronze pins that were placed to withhold broken fragments during earlier conservation interventions are removed and replaced, where necessary, with titanium"
How to remove rust stains from corroded connectors?,Removing rust stains from corroded connectors is achieved by a neutralized thioglycolic acid solution
What to place if greated support is needed?,Where greater support is required (for larger fragments) invisible titanium pins are selectively placed.
How to connect small fragments together?,For smaller fragments a mechanically weaker cement with the addition of lime mortar is used.
What is the final phase of the conservation works?,"Sealing of the joints is the final phase of the conservation works aiming  to prevent the entry of solid particles, ensure the runoff of rainwater and provide an aesthetic finish to the intervention"
What shall we do with the monuments that remain exposed to air pollution?,the surfaces of the monuments that remain exposed to air pollution have to be coated by a protective material that will inhibit the sulphation process and protect the surface as well as the conservation intervention materials meeting the requirements for reversibility and compatibility with the original marble
Which metal oxide is the most good?,"Among many such oxides tested, the aluminum oxide with a reversible polymer body proved to be the most effective"
How nsemiconductor material is made?,"The composition of the material is a methyl methacrylate body in toluene 10% with the addition of electrolytically prepared aluminum oxide (al2o3), which is the component with the properties of nsemiconductor"
Where n semiconductor coating is used?,"The nsemiconductor, beyond the protection of the marble, protects the body from uv radiation and aging."
What is the purpose of artificial patina?,"Artificial patina is used to reduce the color contrast of the new marble complements, an artificial patina can be applied on selected occasions."
Is marble the same as metamorphosed limestone?,"The term marble refers to metamorphosed limestone, but its use in stonemasonry more broadly encompasses unmetamorphosed limestone."
Is marble the same as dolomite?,"Marble is a rock resulting from metamorphism of sedimentary carbonate rocks, most commonly limestone or dolomite (rock). metamorphism causes variable recrystallization of the original carbonate mineral grains"
What causes variable recrystallization of carbonate mineral grains?,metamorphism causes variable recrystallization of the original carbonate mineral grains. the resulting marble rock is typically composed of an interlocking mosaic of carbonate crystals
Is pure white marble the same as dolomite protolith?,Pure white marble is the result of metamorphism of a very pure (silicatepoor) limestone or dolomite protolith
What created the veins and swirls in marble?,"the characteristic swirls and veins of many colored marble varieties are usually due to various mineral impurities such as clay, silt, sand, iron oxides, or chert which were originally present as grains or layers in the limestone"
What is the cause of the green coloration?,green coloration is often due to serpentine resulting from originally magnesiumrich limestone or dolomite with silica impurities. these various impurities have been mobilized and recrystallized by the intense pressure and heat of the metamorphism
What creates the black crust ?,"degradation by acids acids react with the calcium carbonate in marble, producing carbonic acid (which decomposes quickly to co2 and h2o) and other soluble salts : caco3(s) + 2h+(aq) → ca2+(aq) + co2(g) + h2o (l)outdoor marble statues, gravestones, or other marble structures are damaged by acid rain whether by carbonation, sulfation or the formation of ""blackcrust"" (accumulation of calcium sulphate, nitrates and carbon particles)"
What should be avoided in the cleaning of marble products?,Substances like vinegar and other acidic solutions should be avoided in the cleaning of marble products.
How calcium hexafluorosilicate is bonded to marble?,The chemical reaction below shows a typical process using magnesium fluorosilicate (mgsif6) and hydrochloric acid (hcl) taking place.caco3(s) + mgsif6(l) + 2hcl (l) → mgcl2(s) + casif6(s) + co2(g) + h2o(l)the resulting calcium hexafluorosilicate (casif6) is bonded to the surface of the marble
What organic acid IS used to finish marble?,"The most often method to finishing marble is the use of polishing with oxalic acid (h2c2o4), an organic acid."
Does black cladosporium affect marble?,Bacterial and fungal degradation was detected and black cladosporium attacked dried acrylic resin using melanin.
Is the hardness of marble high or low?,"The hardness of marble is very high, because the internal structure of the rock is very uniform after longterm natural aging, and the internal stress disappears, so the marble will not be deformed due to temperature, and has strong wear resistance. it is a very popular building material"
Does human affect the degradation of monuments?,"It is notable, however, that most of the damage that we are obliged to confront today does not originate in the action of the elements but in the interference of man. moreover, the damage caused by rescue or restoration interventions of the recent past is extensive"
Which reasons are the most common for the damage of the monuments?,"Most of the damage suffered by the monuments and now being confronted in the framework of the contemporary interventions falls into the following categories:mechanical this includes damage wrought by earthquakes, explosions, bombardments, fires, freezing, and by the swelling of rusting iron reinforcements used in the interventions of the recent past"
Is acid rain bad for marble degradation?,"Chemical this comprises forms of erosion suffered by the marble mainly as a result of acid rain. a serious problem connected with atmospheric pollution concerns the various accretions and deposits in the form of powder, carbon (black soot) and metal rust"
What are forms of biological corrosion?,"Biological these are forms of corrosion caused by lichens, moulds, birddroppings, plant roots and their discharges."
What materials should be used in a restoration?,The materials used in restoration must be harmless and compatible with the authentic materials
Which material should be used for joining fragments?,"For joining fragments, the titanium rods required by the structural study, should be used as sparingly as possible and the holes for titanium reinforcements be as few as possible, so as to avoid damaging the ancient material"
What is the basic criterion when using reinforcements?,The basic criterion for calculating the reinforcements is that in a nearlimit situation the reinforcements should fail rather than the ancient material
Should I join different materials together?,"In the joining of ancient fragments, only pieces that come from the same architectural member are joined together."
