passages,questions
"consolidation initially, the surface that has undergone intergranular corrosion or intense weathering is consolidated to slow the phenomenon.old plaster removal after consolidation, older mortars that have failed or have caused cracks and other side effects are removed by mechanical means",How is old plaster removed after consolidation?
"old plaster removal after consolidation, older mortars that have failed or have caused cracks and other side effects are removed by mechanical means. the plaster is not removed in parts of the surface, where they can cause further damage to marble",Are older mortars removed or removed by mechanical means?
"the plaster is not removed in parts of the surface, where they can cause further damage to marble.nail removal the corroded iron or bronze pins that were placed to withhold broken fragments during earlier conservation interventions are removed and replaced, where necessary, with titanium",does the plaster have to be removed?
the pin removal system has been developed by the marble technicians.rust removal removing rust stains from corroded connectors is achieved by a neutralized thioglycolic acid solution,who developed the pin removal system?
"rust removal removing rust stains from corroded connectors is achieved by a neutralized thioglycolic acid solution.crack cleaning cleaning of cracks, gaps and internal fracture surfaces aims at the removal of loose fragments, particles and microorganisms",how to remove rust stains from corroded connectors?
"dismantling and joining stone fragments for fragments that are collapsing or remain deformed on the surface, the possibility of detachment is examined on a case by case basis and according to position",dismantling and joining stone fragments for fragments that are collapsing or deformed on the
basic criteria are the preservation of the material and the non alteration of the geometry of the surface during reassambly. where greater support is required (for larger fragments) invisible titanium pins are selectively placed. their sizing is calculated by a designated civil engineer,Who determines the sizing of the titanium pins?
their sizing is calculated by a designated civil engineer. for smaller fragments a mechanically weaker cement with the addition of lime mortar is used,who is responsible for sizing cement fragments?
"inlay of hinges the sealing of the joints is the final phase of the conservation works aiming  to prevent the entry of solid particles, ensure the runoff of rainwater and provide an aesthetic finish to the intervention",What is the final phase of the conservation works?
"protection in order to protect the sculptures, they are transferred to the acropolis museum",Where are the acropolis museum's sculptures kept?
the surfaces of the monuments that remain exposed to air pollution have to be coated by a protective material that will inhibit the sulphation process and protect the surface as well as the conservation intervention materials meeting the requirements for reversibility and compatibility with the original marble,the surfaces of monuments that remain exposed to air pollution have to be coated by what?
"after a long research project, conducted in the laboratory of material science and engineering by prof. t. skoulikidis, a material based on n semiconductors was advanced. these are metal oxides that acquire semiconducting properties when prepared electrolytically",who conducted the research project?
"these are metal oxides that acquire semiconducting properties when prepared electrolytically. their action is based on the inhibition of sulphation. among many such oxides tested, the aluminum oxide with a reversible polymer body proved to be the most effective",the action of aluminum oxide is based on the inhibition of what?
"the composition of the material is a methyl methacrylate body in toluene 10% with the addition of electrolytically prepared aluminum oxide (al2o3), which is the component with the properties of n semiconductor",what is the name of the component with the properties of n semiconductor?
"the n semiconductor, beyond the protection of the marble, protects the body from uv radiation and aging. this material has been applied on a column of the propylaea and an inscription on the plateau of the acropolis",where has the n semiconductor been applied?
"this material has been applied on a column of the propylaea and an inscription on the plateau of the acropolis.artificial patina to reduce the color contrast of the new marble complements, an artificial patina can be applied on selected occasions",What is the purpose of artificial patina?
"artificial patina to reduce the color contrast of the new marble complements, an artificial patina can be applied on selected occasions. the material consists of methyl methacrylate body with 10% in toluene, prepared electrolytically by adding iron oxide and mineral pigments",How can artificial patina be applied to marble?
"marble is a metamorphic rock consisting of carbonate minerals that recrystallize under the influence of heat, pressure and aqueous solutions, most commonly calcite (caco3) or dolomite (camg(co3)2) and has a crystalline texture of varying thickness",is camg(co3)2 the same as dolomite?
"marble is typically not foliated (layered), although there are exceptions.in geology, the term marble refers to metamorphosed limestone, but its use in stonemasonry more broadly encompasses unmetamorphosed limestone. marble is commonly used for sculpture and as a building material",is marble the same as metamorphosed limestone?
"marble is commonly used for sculpture and as a building material.marble is a rock resulting from metamorphism of sedimentary carbonate rocks, most commonly limestone or dolomite (rock). metamorphism causes variable recrystallization of the original carbonate mineral grains",is marble the same as dolomite?
metamorphism causes variable recrystallization of the original carbonate mineral grains. the resulting marble rock is typically composed of an interlocking mosaic of carbonate crystals,What causes variable recrystallization of carbonate mineral grains?
the resulting marble rock is typically composed of an interlocking mosaic of carbonate crystals. primary sedimentary textures and structures of the original carbonate rock (protolith) have typically been modified or destroyed,the original carbonate rock is typically composed of what?
primary sedimentary textures and structures of the original carbonate rock (protolith) have typically been modified or destroyed.pure white marble is the result of metamorphism of a very pure (silicate poor) limestone or dolomite protolith,is pure white marble the same as dolomite protolith?
"the characteristic swirls and veins of many colored marble varieties are usually due to various mineral impurities such as clay, silt, sand, iron oxides, or chert which were originally present as grains or layers in the limestone",what are some of the minerals that are present in the marble?
green coloration is often due to serpentine resulting from originally magnesium rich limestone or dolomite with silica impurities. these various impurities have been mobilized and recrystallized by the intense pressure and heat of the metamorphism,What is the cause of the green coloration?
"degradation by acids acids react with the calcium carbonate in marble, producing carbonic acid (which decomposes quickly to co2 and h2o) and other soluble salts : caco3(s) + 2h+(aq) → ca2+(aq) + co2(g) + h2o (l)outdoor marble statues, gravestones, or other marble structures are damaged by acid rain whether by carbonation, sulfation or the formation of ""black crust"" (accumulation of calcium sulphate, nitrates and carbon particles)",what causes marble to be damaged by acid rain?
[10] vinegar and other acidic solutions should be avoided in the cleaning of marble products.crystallization crystallization refers to a method of imparting a glossy more durable finish on to a marble floor (caco3),What should be avoided in the cleaning of marble products?
crystallization crystallization refers to a method of imparting a glossy more durable finish on to a marble floor (caco3). it involves polishing the surface with an acidic solution and a steel wool pad on a flooring machine,crystallization crystallization involves polishing the surface with an acidic solution and a steel wool
it involves polishing the surface with an acidic solution and a steel wool pad on a flooring machine. the chemical reaction below shows a typical process using magnesium fluorosilicate (mgsif6) and hydrochloric acid (hcl) taking place,the chemical reaction below shows a typical process using what two elements?
