question,context
the j paul getty museumpreface is a treatise on the conservation of,"the conservation of ancient marbledavid rinneconservator of antiquitiesthe j. paul getty museumprefacebeginning with this treatise on the conservation of ancient marble, the j"
the paul getty museum is pleased to initiate a series of publications dealing with the,paul getty museum is pleased to initiate a series ofpublications dealing with the care of fine artworks
What is the subject of the second volume of this publication?,"subsequentvolumes will discuss the problems and treatment of other materials, such as bronze, wood, plaster, and terracotta.this publication deals with the conservation of artworksmade of marble"
What is the first step in a definition of the material?,"a definition of the material will be followedby descriptions of common problems and their treatment,beginning with those which occur above the surface of thestone and proceeding inward"
the final appearance of the sculpture is called what?,"the last section will beconcerned with elements of treatment, such as disassembly,reconstruction, and the final appearance of the sculpture"
the javid rinne Conservator of antiquities cover: see page 19© 1976,david rinneconservator of antiquitiescover: see page 19©1976 the j
what is the name of the materialcherished by many civilizations throughout history for itsbeauty,"paul getty museumisbn: 0892360038the conservation of ancient marblethe materialcherished by countless civilizations throughout history for itsbeauty and sculptural qualities, marble is actually a product ofseashells and other calciumbearing minerals deposited inlimestone during prehistoric changes in the earth's crust andmetamorphosized by tremendous heat and pressure"
is calcium carbonate a component or component of marble?,"the maincomponent of marble is calcite, or calcium carbonate, joinedwith other constituents such as dolomite, or magnesium calcium carbonate, and argonite"
"What are some of the socalled ""earth"" elements?","marble also contains many ofthe socalled ""earth"" elements—such as sodium, potassium,barium, and aluminum—as well as many of the ""metallic""elements—such as iron, copper, manganese, and chromium,which cause the tremendous variations of colors and sedimentary patterns so often seen in roman sculptures and buildings"
 neutronactivation is an example of what?,"with the development of new techniques, such as neutronactivation, elements of a rarer sort are now being found as welland may become an important internal standard in the identification of the original quarries"
where can marble be found?,marble can be found in wideveins stretching through the mountain ranges of almost everycontinent. we are concerned mainly with the marble sourcesnear the mediterranean
"mount pentelicus, mount paros, and mount hemetian were important sources of","wellknown areas in greece such asmount pentelicus, mount paros, the island of naxos, andmount hemetian were important sources of marble for theclassical world and were mined by both greeks and romans"
the major quarry on the italian peninsula was and still is what?,the major quarry on the italian peninsula was and still is carrara; renowned marbles found there are composed of dolomiteor calcite mixed with magnesium calcium carbonite
is calcium sulphate the same as marble?,"alabaster, which is actually calcium sulphate, is often confused with marble"
What is the hardness of dolomite?,"however, it has a hardness of 2 on thediamond scale—a system of measurement which uses tenminerals as constants, with diamond, at 10, the hardest—while calcite and dolomite, the components of true marble,have hardnesses of 3 and 4, respectively, resulting in greaterresistance to wear"
is marble and alabaster the same thing?,alabaster is more susceptible than marbleto damage from water
"for all intents and purposes, marble isinsoluble in what?","for all intents and purposes, marble isinsoluble in pure water; however, the smallest trace of carbondioxide in the water will cause rapid degeneration of the surface"
What will causealteration of the calcite into calcium sulphate?,"other gases such as sulphate—greatly increased in theatmosphere by pollution—and atomic sulphur will causealteration of the calcite into calcium sulphate, a substance4 surface cleaningwhich, bearing a different expansion coefficient than the marble surface, will easily crumble away"
How are chlorides carried from the ground to the surface of thestone?,"chlorides, either carriedby the air or wicked from the ground by capillary action, alsointeract with the calcite and are carried to the surface of thestone, appearing as an efflorescence of crystals"
Is marble strong or weak?,"thus, while itappears to be an exceptionally strong material, marble is notimpervious to damage by burial, atmospheric attack, and incompetent restoration"
the consequences of art susceptibilityome complex with regard to works of art what?,the ramifications of its susceptibilitybecome complex with regard to works of art
why do most people not realize that marble is chemically reactive?,"surface cleaning of marblemost people do not realize that marble is chemically reactiveand fairly porous, conditions that allow alteration of itscharacter by surface contaminants"
the types of stains that can be easily divided into several groups include what?,"the types of stains possible fall into several groups: dirt and grit, oils, inherent discoloration from oxidized metallic ions, and external contact withmetals or glues and other adhesives"
how do stains and grime get together?,"usually, stains are acombination of these factors.dirt and grime may adhere merely by electrostatic force dueto their finely divided state, or become caught in tiny cracksand crevices"
how do you attract bees?,"they can also be attracted by binding mediasuch as oil and wax which can come from the atmosphere orbe applied by repeated handling, a situation which coalescesthe dirt into a kind of paint"
how are marble stains transported to the surface?,often the stains become mixedwith other materials which are transported to the surface byfluids traveling through the marble by capillarity andeffloresced by evaporation
the condition known as patination is always what?,it has been discovered that thecondition known as patination is always accomplished inthe presence of this finely divided material existing in alayered structure
