instruction,context,response
How is old plaster removed after consolidation?,"consolidation initially, the surface that has undergone intergranular corrosion or intense weathering is consolidated to slow the phenomenon.old plaster removal after consolidation, older mortars that have failed or have caused cracks and other side effects are removed by mechanical means",By mechanical means.
Why we consolidate the surface?,"consolidation initially, the surface that has undergone intergranular corrosion or intense weathering is consolidated to slow the phenomenon.old plaster removal after consolidation, older mortars that have failed or have caused cracks and other side effects are removed by mechanical means",To slow down the intergranular corrosion or intense weathering.
Are older mortars removed by mechanical means?,"old plaster removal after consolidation, older mortars that have failed or have caused cracks and other side effects are removed by mechanical means. the plaster is not removed in parts of the surface, where they can cause further damage to marble",Yes they are.
Where is the plaster not removed?,"old plaster removal after consolidation, older mortars that have failed or have caused cracks and other side effects are removed by mechanical means. the plaster is not removed in parts of the surface, where they can cause further damage to marble","The plaster is not removed in parts of the surface, where they can cause further damage."
With what are the corroded iron or bronzw pins replaced with?,"the plaster is not removed in parts of the surface, where they can cause further damage to marble.nail removal the corroded iron or bronze pins that were placed to withhold broken fragments during earlier conservation interventions are removed and replaced, where necessary, with titanium","The corroded iron or bronze pins are removed and replaced, where necessary with titanium."
Who developed the pin removal system?,the pin removal system has been developed by the marble technicians.rust removal removing rust stains from corroded connectors is achieved by a neutralized thioglycolic acid solution,The pin removal system has been developed by the marble technicians.
How rust stains are removed from corroded connectors?,the pin removal system has been developed by the marble technicians.rust removal removing rust stains from corroded connectors is achieved by a neutralized thioglycolic acid solution,Rust removal removing rust stains from corroded connectors is achieved by a neutralized thioglycolic acid solution.
What to do for  collapsing or remain deformed stone surfaces?,"dismantling and joining stone fragments for fragments that are collapsing or remain deformed on the surface, the possibility of detachment is examined on a case by case basis and according to position",Dismantle and join stone fragments.
Who determines the sizing of the titanium pins?,basic criteria are the preservation of the material and the non alteration of the geometry of the surface during reassambly. where greater support is required (for larger fragments) invisible titanium pins are selectively placed. their sizing is calculated by a designated civil engineer,By a designated civil engineer.
How to join large fragments?,basic criteria are the preservation of the material and the non alteration of the geometry of the surface during reassambly. where greater support is required (for larger fragments) invisible titanium pins are selectively placed. their sizing is calculated by a designated civil engineer,Where greater support is required for larger fragments invisible titanium pins are selectively placed.
How to join small fragments?,their sizing is calculated by a designated civil engineer. for smaller fragments a mechanically weaker cement with the addition of lime mortar is used,For smaller fragments a mechanically weaker cement with the addition of lime mortar can be used.
What is the final phase of the conservation works?,"inlay of hinges the sealing of the joints is the final phase of the conservation works aiming  to prevent the entry of solid particles, ensure the runoff of rainwater and provide an aesthetic finish to the intervention",The sealing of the joints is the final phase of the conservation works.
Why we seal the joints or cracks?,"inlay of hinges the sealing of the joints is the final phase of the conservation works aiming  to prevent the entry of solid particles, ensure the runoff of rainwater and provide an aesthetic finish to the intervention",To prevent the entry of solid particles and ensure the runoff of rainwater.
Why the sculptures are transferred inside?,"protection in order to protect the sculptures, they are transferred inside to the acropolis museum",In order to protect the sculptures.
Where the sculptures are transferred?,"protection in order to protect the sculptures, they are transferred inside to the acropolis museum",To the acropolis museum.
The surfaces of marble monuments that remain exposed to air pollution have to be coated by what?,the surfaces of the monuments that remain exposed to air pollution have to be coated by a protective material that will inhibit the sulphation process and protect the surface as well as the conservation intervention materials meeting the requirements for reversibility and compatibility with the original marble,The surfaces of the monuments that remain exposed to air pollution have to be coated by a protective material.
